Sample,Taxon,Table,Count
PCRpool4P2,Acizzia_solanicola,above,8140
PCRpool4P2,Aphidius_colemani,above,23667
PCRpool4P2,Bactrocera_tryoni,above,2205
PCRpool4P2,Bradysia_ocellaris,above,0
PCRpool4P2,Carpophilus_davidsoni,above,12895
PCRpool4P2,Carpophilus_dimidiatus,above,1377
PCRpool4P2,Diuraphis_noxia,above,789
PCRpool4P2,Drosophila_hydeii,above,1737
PCRpool4P2,Drosophila_melanogaster,above,90865
PCRpool4P2,Drosophila_simulans,above,3089
PCRpool4P2,Lysiphlebus_testaceipes,above,10342
PCRpool4P2,Metopolophium_dirhodum,above,1010
PCRpool4P2,Psyllid_sp,above,4288
PCRpool4P2,Rhopalosiphum_padi,above,1900
PCRpool4P2,Scaptodrosophila_lativittata,above,1691
I5P2,Acizzia_alternata,above,51187
I5P2,Acizzia_solanicola,above,348328
I5P2,Aphidius_colemani,above,8994
I5P2,Bactrocera_tryoni,above,32648
I5P2,Bradysia_ocellaris,above,1525
I5P2,Carpophilus_davidsoni,above,37928
I5P2,Carpophilus_dimidiatus,above,310
I5P2,Diuraphis_noxia,above,198
I5P2,Drosophila_hydeii,above,642
I5P2,Drosophila_melanogaster,above,2725
I5P2,Drosophila_simulans,above,464
I5P2,Lysiphlebus_testaceipes,above,3583
I5P2,Metopolophium_dirhodum,above,760
I5P2,Psyllid_sp,above,12285
I5P2,Rhopalosiphum_padi,above,6305
I5P2,Scaptodrosophila_lativittata,above,485
D5P2,Acizzia_alternata,above,11732
D5P2,Acizzia_solanicola,above,27139
D5P2,Aphidius_colemani,above,42443
D5P2,Bactrocera_tryoni,above,1384
D5P2,Bradysia_ocellaris,above,1179
D5P2,Carpophilus_davidsoni,above,22412
D5P2,Carpophilus_dimidiatus,above,7798
D5P2,Diuraphis_noxia,above,24
D5P2,Drosophila_hydeii,above,980
D5P2,Drosophila_melanogaster,above,3692
D5P2,Drosophila_simulans,above,581
D5P2,Lysiphlebus_testaceipes,above,4669
D5P2,Metopolophium_dirhodum,above,114
D5P2,Psyllid_sp,above,10523
D5P2,Rhopalosiphum_padi,above,522
